Country,Job,Job Title,Company,company link,Location,Publish Time,link
Egypt,Ai Developer,AI Developer,Coca-Cola HBC,https://ch.linkedin.com/company/coca-cola-hbc?trk=public_jobs_jserp-result_job-search-card-subtitle,"New Cairo, Cairo, Egypt",3 weeks ago,https://eg.linkedin.com/jobs/view/ai-developer-at-coca-cola-hbc-4287933236?position=1&pageNum=0&refId=dhBVol%2F1b7iDYgfglPHGKA%3D%3D&trackingId=dA3boROkfhZGVD3fwQlIaQ%3D%3D
Egypt,Ai Developer,Data Scientist,Banque Misr,https://eg.linkedin.com/company/banque-misr?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",2 months ago,https://eg.linkedin.com/jobs/view/data-scientist-at-banque-misr-4281944321?position=2&pageNum=0&refId=dhBVol%2F1b7iDYgfglPHGKA%3D%3D&trackingId=l47kK9Q5YdDTbi5Y7htoyA%3D%3D
Egypt,Ai Developer,Machine Learning Engineer,ELSEWEDY ELECTRIC,https://eg.linkedin.com/company/elsewedyelectric?trk=public_jobs_jserp-result_job-search-card-subtitle,"New Cairo, Cairo, Egypt",2 days ago,https://eg.linkedin.com/jobs/view/machine-learning-engineer-at-elsewedy-electric-4298488428?position=3&pageNum=0&refId=dhBVol%2F1b7iDYgfglPHGKA%3D%3D&trackingId=E2EQ1bPv%2FV%2BHP%2BnbyoFWhg%3D%3D
Egypt,Ai Developer,AI Engineer / Python,Talent 360 ME,https://eg.linkedin.com/company/talent-360-me?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",1 week ago,https://eg.linkedin.com/jobs/view/ai-engineer-python-at-talent-360-me-4294283468?position=4&pageNum=0&refId=dhBVol%2F1b7iDYgfglPHGKA%3D%3D&trackingId=aCR0oHPjCUdibh8P0YrcTQ%3D%3D
Egypt,Ai Developer,"ML Engineer (General)- Remote, 3-Month Contract, Extendable",SWATX,https://ae.linkedin.com/company/swatxsolutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",1 month ago,https://eg.linkedin.com/jobs/view/ml-engineer-general-remote-3-month-contract-extendable-at-swatx-4284414083?position=5&pageNum=0&refId=dhBVol%2F1b7iDYgfglPHGKA%3D%3D&trackingId=8%2FuAL6DuAWyxz9S8vhThIg%3D%3D
Egypt,Ai Developer,AI Developer,Cubic Information Systems,https://ae.linkedin.com/company/cubicis?trk=public_jobs_jserp-result_job-search-card-subtitle,Egypt,1 month ago,https://eg.linkedin.com/jobs/view/ai-developer-at-cubic-information-systems-4279698516?position=6&pageNum=0&refId=dhBVol%2F1b7iDYgfglPHGKA%3D%3D&trackingId=eqFLUNexzUz1Vbb5DRIoyg%3D%3D
Egypt,Ai Developer,Data Science & AI Engineer,Nawy,https://eg.linkedin.com/company/nawyestate?trk=public_jobs_jserp-result_job-search-card-subtitle,"Qesm El Maadi, Cairo, Egypt",1 month ago,https://eg.linkedin.com/jobs/view/data-science-ai-engineer-at-nawy-4278090184?position=7&pageNum=0&refId=dhBVol%2F1b7iDYgfglPHGKA%3D%3D&trackingId=grZA3jLRIGwuG55aYxVUiw%3D%3D
Egypt,Ai Developer,Artificial Intelligence Engineer,Fekra Technologies,https://eg.linkedin.com/company/fekra-egy?trk=public_jobs_jserp-result_job-search-card-subtitle,Egypt,2 days ago,https://eg.linkedin.com/jobs/view/artificial-intelligence-engineer-at-fekra-technologies-4298728463?position=8&pageNum=0&refId=dhBVol%2F1b7iDYgfglPHGKA%3D%3D&trackingId=3Hm7c%2FffzXhFrbsFL89ChA%3D%3D
Egypt,Ai Developer,Machine Learning Engineer,700apps,https://sa.linkedin.com/company/700apps?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",1 month ago,https://eg.linkedin.com/jobs/view/machine-learning-engineer-at-700apps-4277202322?position=9&pageNum=0&refId=dhBVol%2F1b7iDYgfglPHGKA%3D%3D&trackingId=uduxIlYCKAc0EnWbLmUX3w%3D%3D
Egypt,Ai Developer,Data Scientist,Nawy,https://eg.linkedin.com/company/nawyestate?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",1 month ago,https://eg.linkedin.com/jobs/view/data-scientist-at-nawy-4284088753?position=10&pageNum=0&refId=dhBVol%2F1b7iDYgfglPHGKA%3D%3D&trackingId=2b2uC%2Btk5rzfqlonIs9PBg%3D%3D
Egypt,Ai Developer,Software Engineer - AI Start Up (Sheikh Zayed),KNOT Technologies,https://eg.linkedin.com/company/knottechnologies?trk=public_jobs_jserp-result_job-search-card-subtitle,"Qesm El Sheikh Zaid, Al Jizah, Egypt",1 day ago,https://eg.linkedin.com/jobs/view/software-engineer-ai-start-up-sheikh-zayed-at-knot-technologies-4299162500?position=11&pageNum=0&refId=dhBVol%2F1b7iDYgfglPHGKA%3D%3D&trackingId=zDAuBjLJ%2Bb69fXlG578h%2FA%3D%3D
Egypt,Ai Developer,AI Engineer,Beetleware,https://eg.linkedin.com/company/beetlewaregroup?trk=public_jobs_jserp-result_job-search-card-subtitle,Egypt,5 months ago,https://eg.linkedin.com/jobs/view/ai-engineer-at-beetleware-4200280576?position=12&pageNum=0&refId=dhBVol%2F1b7iDYgfglPHGKA%3D%3D&trackingId=9cPTRqjOr%2FKyNcji9BNP0g%3D%3D
Egypt,Ai Developer,Machine Learning Engineer,NoGood,https://www.linkedin.com/company/nogood?trk=public_jobs_jserp-result_job-search-card-subtitle,Egypt,2 weeks ago,https://eg.linkedin.com/jobs/view/machine-learning-engineer-at-nogood-4291668138?position=13&pageNum=0&refId=dhBVol%2F1b7iDYgfglPHGKA%3D%3D&trackingId=ZkNtL2bDFlwVQbXtivqJ2A%3D%3D
Egypt,Ai Developer,Machine Learning Engineer,Specright,https://www.linkedin.com/company/specrightinc?trk=public_jobs_jserp-result_job-search-card-subtitle,Egypt,3 months ago,https://eg.linkedin.com/jobs/view/machine-learning-engineer-at-specright-4250943394?position=14&pageNum=0&refId=dhBVol%2F1b7iDYgfglPHGKA%3D%3D&trackingId=pXPNWPv3d2ggbT7PbC8aeg%3D%3D
Egypt,Ai Developer,Data Scientist,Henkel,https://de.linkedin.com/company/henkel?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",2 weeks ago,https://eg.linkedin.com/jobs/view/data-scientist-at-henkel-4266018689?position=15&pageNum=0&refId=dhBVol%2F1b7iDYgfglPHGKA%3D%3D&trackingId=P5MiQmMeafymUgnG1PR2fw%3D%3D
Egypt,Ai Developer,"ML Engineer (LLM Focus) - Remote Full-Time, 3 Months with Extension Opportunity",SWATX,https://ae.linkedin.com/company/swatxsolutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",1 month ago,https://eg.linkedin.com/jobs/view/ml-engineer-llm-focus-remote-full-time-3-months-with-extension-opportunity-at-swatx-4284510644?position=16&pageNum=0&refId=dhBVol%2F1b7iDYgfglPHGKA%3D%3D&trackingId=4nRcC1aLgNjOsgUvD4SIAw%3D%3D
Egypt,Ai Developer,AI/ML Engineer,AKWAD,https://eg.linkedin.com/company/akwadtech?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",4 months ago,https://eg.linkedin.com/jobs/view/ai-ml-engineer-at-akwad-4224451917?position=17&pageNum=0&refId=dhBVol%2F1b7iDYgfglPHGKA%3D%3D&trackingId=QPpzptq9eyx0SXrHE6uZ7Q%3D%3D
Egypt,Ai Developer,Machine Learning Engineer,SSC HR Solutions,https://eg.linkedin.com/company/sschrsolutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",1 month ago,https://eg.linkedin.com/jobs/view/machine-learning-engineer-at-ssc-hr-solutions-4281751732?position=18&pageNum=0&refId=dhBVol%2F1b7iDYgfglPHGKA%3D%3D&trackingId=h77TAppLuaonbJr4iiINuA%3D%3D
Egypt,Ai Developer,Data Scientist,SWATX,https://ae.linkedin.com/company/swatxsolutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",1 month ago,https://eg.linkedin.com/jobs/view/data-scientist-at-swatx-4281266066?position=19&pageNum=0&refId=dhBVol%2F1b7iDYgfglPHGKA%3D%3D&trackingId=3LUlwxQFRlUrWUnwX6fl3Q%3D%3D
Egypt,Ai Developer,Machine Learning Engineer,blnk,https://eg.linkedin.com/company/blnkconsumerfinance?trk=public_jobs_jserp-result_job-search-card-subtitle,"Giza, Al Jizah, Egypt",3 months ago,https://eg.linkedin.com/jobs/view/machine-learning-engineer-at-blnk-4232528606?position=20&pageNum=0&refId=dhBVol%2F1b7iDYgfglPHGKA%3D%3D&trackingId=DrjiTLK31jjZs%2FdN6NR6BA%3D%3D
