Country,Job,Job Title,Company,company link,Location,Publish Time,link
Egypt,Data Analyst,Data Analyst,Al Ahly Momkn,https://eg.linkedin.com/company/alahlymomknfore-payments?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",3 weeks ago,https://eg.linkedin.com/jobs/view/data-analyst-at-al-ahly-momkn-4288383333?position=1&pageNum=0&refId=YAj4bBhTD6iRsLmDHzYu5w%3D%3D&trackingId=5fJXbZFwvgV%2FQNvZwE8Phw%3D%3D
Egypt,Data Analyst,Sustainability Data Analyst,Henkel,https://de.linkedin.com/company/henkel?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",2 days ago,https://eg.linkedin.com/jobs/view/sustainability-data-analyst-at-henkel-4145128935?position=2&pageNum=0&refId=YAj4bBhTD6iRsLmDHzYu5w%3D%3D&trackingId=hx%2F%2FTxj3GKbcYjlBl%2B9GXg%3D%3D
Egypt,Data Analyst,Data Analyst - Supply Chain,Homzmart,https://eg.linkedin.com/company/homzmart?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",1 month ago,https://eg.linkedin.com/jobs/view/data-analyst-supply-chain-at-homzmart-4281256985?position=3&pageNum=0&refId=YAj4bBhTD6iRsLmDHzYu5w%3D%3D&trackingId=rJuPAjRT4N%2Fu4agYgXTHuA%3D%3D
Egypt,Data Analyst,Business Intelligence Specialist,Banque Misr,https://eg.linkedin.com/company/banque-misr?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Egypt",1 day ago,https://eg.linkedin.com/jobs/view/business-intelligence-specialist-at-banque-misr-4297419589?position=4&pageNum=0&refId=YAj4bBhTD6iRsLmDHzYu5w%3D%3D&trackingId=B1MHS4o5hHhiluc3C9tSaA%3D%3D
Egypt,Data Analyst,Data Analyst,Gini Talent,https://tr.linkedin.com/company/ginitalent-recruitment-staffing?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Egypt",1 week ago,https://eg.linkedin.com/jobs/view/data-analyst-at-gini-talent-4293717545?position=5&pageNum=0&refId=YAj4bBhTD6iRsLmDHzYu5w%3D%3D&trackingId=qX%2F2oSyMLU8mv5tyJXYCDg%3D%3D
Egypt,Data Analyst,Innovation Data Analyst,Henkel,https://de.linkedin.com/company/henkel?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",2 weeks ago,https://eg.linkedin.com/jobs/view/innovation-data-analyst-at-henkel-4292369642?position=6&pageNum=0&refId=YAj4bBhTD6iRsLmDHzYu5w%3D%3D&trackingId=jUEkZDu3pRCZx70GpeoYtg%3D%3D
Egypt,Data Analyst,Data Analyst,Nawy,https://eg.linkedin.com/company/nawyestate?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",2 months ago,https://eg.linkedin.com/jobs/view/data-analyst-at-nawy-4281916778?position=7&pageNum=0&refId=YAj4bBhTD6iRsLmDHzYu5w%3D%3D&trackingId=4kWylikxY1MM6E6TLWemMQ%3D%3D
Egypt,Data Analyst,"CS Data Analyst, Customer Service",Amazon,https://www.linkedin.com/company/amazon?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",2 weeks ago,https://eg.linkedin.com/jobs/view/cs-data-analyst-customer-service-at-amazon-4228836952?position=8&pageNum=0&refId=YAj4bBhTD6iRsLmDHzYu5w%3D%3D&trackingId=X1twSNueN6IMj0E6EoXhmg%3D%3D
Egypt,Data Analyst,Data Operation & Support Specialist/ Analyst/ Senior Analyst,Banque Misr,https://eg.linkedin.com/company/banque-misr?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",1 month ago,https://eg.linkedin.com/jobs/view/data-operation-support-specialist-analyst-senior-analyst-at-banque-misr-4283713335?position=9&pageNum=0&refId=YAj4bBhTD6iRsLmDHzYu5w%3D%3D&trackingId=RRAIQueuOf5CEB5Pl1QVFQ%3D%3D
Egypt,Data Analyst,Junior Data Engineer,Halan - حالا,https://eg.linkedin.com/company/halan?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",4 days ago,https://eg.linkedin.com/jobs/view/junior-data-engineer-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-4297172003?position=10&pageNum=0&refId=YAj4bBhTD6iRsLmDHzYu5w%3D%3D&trackingId=HQgtKVh4%2B0pSzwXhzCuOwg%3D%3D
