Country,Job,Job Title,Company,company link,Location,Publish Time,link
Egypt,Odoo Developer,Odoo Technical Developer,ISG Intelligent Systems Group,https://eg.linkedin.com/company/isg-intelligent-systems-group?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",1 day ago,https://eg.linkedin.com/jobs/view/odoo-technical-developer-at-isg-intelligent-systems-group-4298856940?position=1&pageNum=0&refId=yhoOTtGpv85QymEEGYONiQ%3D%3D&trackingId=ZvkZQ1RWizkgLYMTotaVyA%3D%3D
Egypt,Odoo Developer,Odoo Software Developer,ACS Logistics Co.,https://eg.linkedin.com/company/acslogco?trk=public_jobs_jserp-result_job-search-card-subtitle,Egypt,3 weeks ago,https://eg.linkedin.com/jobs/view/odoo-software-developer-at-acs-logistics-co-4287255674?position=2&pageNum=0&refId=yhoOTtGpv85QymEEGYONiQ%3D%3D&trackingId=I3BxLTF9Mly9dVNNcOvaSQ%3D%3D
Egypt,Odoo Developer,Odoo Developer,2S HomeWear,https://eg.linkedin.com/company/2s-homewear?trk=public_jobs_jserp-result_job-search-card-subtitle,"New Cairo, Cairo, Egypt",1 month ago,https://eg.linkedin.com/jobs/view/odoo-developer-at-2s-homewear-4280178787?position=3&pageNum=0&refId=yhoOTtGpv85QymEEGYONiQ%3D%3D&trackingId=Q999hb2R72cK3MZoyG82%2FA%3D%3D
Egypt,Odoo Developer,Odoo Developer,Beetleware,https://eg.linkedin.com/company/beetlewaregroup?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",5 months ago,https://eg.linkedin.com/jobs/view/odoo-developer-at-beetleware-4200283356?position=4&pageNum=0&refId=yhoOTtGpv85QymEEGYONiQ%3D%3D&trackingId=BtHuAlL9qwXqOuJOiWLg%2FQ%3D%3D
Egypt,Odoo Developer,Odoo Expert / Implementer / Developer,PetroApp | بتروآب,https://sa.linkedin.com/company/petroapp?trk=public_jobs_jserp-result_job-search-card-subtitle,Egypt,2 months ago,https://eg.linkedin.com/jobs/view/odoo-expert-implementer-developer-at-petroapp-%D8%A8%D8%AA%D8%B1%D9%88%D8%A2%D8%A8-4282134646?position=5&pageNum=0&refId=yhoOTtGpv85QymEEGYONiQ%3D%3D&trackingId=kysY%2B8iq0%2F9V%2BAwQtrGlBA%3D%3D
Egypt,Odoo Developer,Odoo Developer | Pan Marine Group,PAN MARINE GROUP,https://eg.linkedin.com/company/pan-marine-group?trk=public_jobs_jserp-result_job-search-card-subtitle,"Alexandria, Alexandria, Egypt",7 months ago,https://eg.linkedin.com/jobs/view/odoo-developer-pan-marine-group-at-pan-marine-group-4136680334?position=6&pageNum=0&refId=yhoOTtGpv85QymEEGYONiQ%3D%3D&trackingId=9fohTHaImRImhdLRI013hw%3D%3D
Egypt,Odoo Developer,Odoo Developer,Extend | The Ad Network,https://sa.linkedin.com/company/extendad-marketing-inc-?trk=public_jobs_jserp-result_job-search-card-subtitle,"Qesm El Maadi, Cairo, Egypt",3 weeks ago,https://eg.linkedin.com/jobs/view/odoo-developer-at-extend-the-ad-network-4287088422?position=7&pageNum=0&refId=yhoOTtGpv85QymEEGYONiQ%3D%3D&trackingId=SYYpb2qeCeBCXLNv8d7Cjg%3D%3D
Egypt,Odoo Developer,Senior Odoo Developer,EjadTech - إيجاد التقنية,https://sa.linkedin.com/company/ejadtechsa?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Egypt",1 week ago,https://eg.linkedin.com/jobs/view/senior-odoo-developer-at-ejadtech-%D8%A5%D9%8A%D8%AC%D8%A7%D8%AF-%D8%A7%D9%84%D8%AA%D9%82%D9%86%D9%8A%D8%A9-4294808403?position=8&pageNum=0&refId=yhoOTtGpv85QymEEGYONiQ%3D%3D&trackingId=oauRvEwp8Ynm0NOqdiwGFg%3D%3D
Egypt,Odoo Developer,Senior Odoo Developer,2S HomeWear,https://eg.linkedin.com/company/2s-homewear?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Egypt",3 days ago,https://eg.linkedin.com/jobs/view/senior-odoo-developer-at-2s-homewear-4296209409?position=9&pageNum=0&refId=yhoOTtGpv85QymEEGYONiQ%3D%3D&trackingId=BZ5ZMdT6TVLzUnJYyqDaYg%3D%3D
Egypt,Odoo Developer,Senior Odoo Developer,Boutiqaat,https://kw.linkedin.com/company/boutiqaatlifestyle?trk=public_jobs_jserp-result_job-search-card-subtitle,"Heliopolis, Cairo, Egypt",4 days ago,https://eg.linkedin.com/jobs/view/senior-odoo-developer-at-boutiqaat-4295579295?position=10&pageNum=0&refId=yhoOTtGpv85QymEEGYONiQ%3D%3D&trackingId=rboZ8kck9weKwyL6MEQv3w%3D%3D
