Country,Job,Job Title,Company,company link,Location,Publish Time,link
Saudi Arabia,Ai Developer,Applied AI Agents Engineer,CodeNinja Inc.,https://www.linkedin.com/company/codeninjainc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Riyadh, Riyadh, Saudi Arabia",18 hours ago,https://sa.linkedin.com/jobs/view/applied-ai-agents-engineer-at-codeninja-inc-4299748079?position=1&pageNum=0&refId=vxbP50w52a%2BwvjV5xGJNrA%3D%3D&trackingId=laleV65YRX9iv%2FUizYYHOQ%3D%3D
Saudi Arabia,Ai Developer,Data Scientist (Saudi Arabia),Eram Talent,https://sa.linkedin.com/company/eramtalent?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dhahran, Eastern, Saudi Arabia",3 days ago,https://sa.linkedin.com/jobs/view/data-scientist-saudi-arabia-at-eram-talent-4296252002?position=2&pageNum=0&refId=vxbP50w52a%2BwvjV5xGJNrA%3D%3D&trackingId=D9ULJdozMOJpDUZXkEH6ww%3D%3D
Saudi Arabia,Ai Developer,AI Engineer,Lucidya | لوسيديا,https://sa.linkedin.com/company/lucidya?trk=public_jobs_jserp-result_job-search-card-subtitle,Saudi Arabia,1 month ago,https://sa.linkedin.com/jobs/view/ai-engineer-at-lucidya-%D9%84%D9%88%D8%B3%D9%8A%D8%AF%D9%8A%D8%A7-4285600000?position=3&pageNum=0&refId=vxbP50w52a%2BwvjV5xGJNrA%3D%3D&trackingId=RICB8a0lK5q7krX6n8xZHw%3D%3D
Saudi Arabia,Ai Developer,AI Engineer,Bites | بايتس,https://sa.linkedin.com/company/bites-ai?trk=public_jobs_jserp-result_job-search-card-subtitle,"Riyadh, Riyadh, Saudi Arabia",1 week ago,https://sa.linkedin.com/jobs/view/ai-engineer-at-bites-%D8%A8%D8%A7%D9%8A%D8%AA%D8%B3-4293933109?position=4&pageNum=0&refId=vxbP50w52a%2BwvjV5xGJNrA%3D%3D&trackingId=DhqjLVvit%2FLvqV1VQkXyRA%3D%3D
Saudi Arabia,Ai Developer,AI Engineer (Saudi Only),Lucidya | لوسيديا,https://sa.linkedin.com/company/lucidya?trk=public_jobs_jserp-result_job-search-card-subtitle,"Riyadh, Riyadh, Saudi Arabia",1 month ago,https://sa.linkedin.com/jobs/view/ai-engineer-saudi-only-at-lucidya-%D9%84%D9%88%D8%B3%D9%8A%D8%AF%D9%8A%D8%A7-4283777784?position=5&pageNum=0&refId=vxbP50w52a%2BwvjV5xGJNrA%3D%3D&trackingId=6G04jE9u%2Btek%2B3vDVc3xTA%3D%3D
Saudi Arabia,Ai Developer,Data Scientist,Qarbon IT,https://pl.linkedin.com/company/qarbon-it?trk=public_jobs_jserp-result_job-search-card-subtitle,"Riyadh, Riyadh, Saudi Arabia",1 day ago,https://sa.linkedin.com/jobs/view/data-scientist-at-qarbon-it-4299410660?position=6&pageNum=0&refId=vxbP50w52a%2BwvjV5xGJNrA%3D%3D&trackingId=Ef6JZyfhiJVcUJwI3Xytsg%3D%3D
Saudi Arabia,Ai Developer,AI Engineer (Saudi Only),Lucidya | لوسيديا,https://sa.linkedin.com/company/lucidya?trk=public_jobs_jserp-result_job-search-card-subtitle,"Jiddah, Makkah, Saudi Arabia",1 month ago,https://sa.linkedin.com/jobs/view/ai-engineer-saudi-only-at-lucidya-%D9%84%D9%88%D8%B3%D9%8A%D8%AF%D9%8A%D8%A7-4283775962?position=7&pageNum=0&refId=vxbP50w52a%2BwvjV5xGJNrA%3D%3D&trackingId=QOvqwP%2F2TGxtCH068VZp6w%3D%3D
Saudi Arabia,Ai Developer,AI Engineer,HRsource,https://ae.linkedin.com/company/wearehrsource?trk=public_jobs_jserp-result_job-search-card-subtitle,"Riyadh, Saudi Arabia",1 week ago,https://sa.linkedin.com/jobs/view/ai-engineer-at-hrsource-4291785304?position=8&pageNum=0&refId=vxbP50w52a%2BwvjV5xGJNrA%3D%3D&trackingId=%2FEEYB0melU9K%2F1gqBbETHw%3D%3D
Saudi Arabia,Ai Developer,Artificial Intelligence Engineer,Wittify.ai,https://sa.linkedin.com/company/wittify-ai?trk=public_jobs_jserp-result_job-search-card-subtitle,"Riyadh, Riyadh, Saudi Arabia",4 days ago,https://sa.linkedin.com/jobs/view/artificial-intelligence-engineer-at-wittify-ai-4294798401?position=9&pageNum=0&refId=vxbP50w52a%2BwvjV5xGJNrA%3D%3D&trackingId=wddR%2FyXLP5DeDgYa%2BUs2TA%3D%3D
Saudi Arabia,Ai Developer,AI API Developer,Master Works,https://sa.linkedin.com/company/master-works?trk=public_jobs_jserp-result_job-search-card-subtitle,"Riyadh, Riyadh, Saudi Arabia",1 month ago,https://sa.linkedin.com/jobs/view/ai-api-developer-at-master-works-4284400306?position=10&pageNum=0&refId=vxbP50w52a%2BwvjV5xGJNrA%3D%3D&trackingId=yDlzgQZWBvkHNQ8a4mEptQ%3D%3D
