Country,Job,Job Title,Company,company link,Location,Publish Time,link
Saudi Arabia,Data Analyst,"Data Analytics & Visualization, Business Intelligence",Confidential Government,https://sa.linkedin.com/company/confidentialgovernment?trk=public_jobs_jserp-result_job-search-card-subtitle,"Riyadh, Saudi Arabia",3 weeks ago,https://sa.linkedin.com/jobs/view/data-analytics-visualization-business-intelligence-at-confidential-government-4285089817?position=1&pageNum=0&refId=ZmLE6whTQU8K80x3EcrN0Q%3D%3D&trackingId=rCBFAOKxkJEDsZKX8aUlhg%3D%3D
Saudi Arabia,Data Analyst,Data Analysis Specialist,Takamol Holding,https://sa.linkedin.com/company/takamolholding?trk=public_jobs_jserp-result_job-search-card-subtitle,"Riyadh, Riyadh, Saudi Arabia",1 week ago,https://sa.linkedin.com/jobs/view/data-analysis-specialist-at-takamol-holding-4294610380?position=2&pageNum=0&refId=ZmLE6whTQU8K80x3EcrN0Q%3D%3D&trackingId=wWYV8M%2FEpdt163%2BS4XP18w%3D%3D
Saudi Arabia,Data Analyst,Staff Data Analyst,HungerStation | هنقرستيشن,https://sa.linkedin.com/company/hungerstation-com?trk=public_jobs_jserp-result_job-search-card-subtitle,"Riyadh, Riyadh, Saudi Arabia",2 days ago,https://sa.linkedin.com/jobs/view/staff-data-analyst-at-hungerstation-%D9%87%D9%86%D9%82%D8%B1%D8%B3%D8%AA%D9%8A%D8%B4%D9%86-4298339619?position=3&pageNum=0&refId=ZmLE6whTQU8K80x3EcrN0Q%3D%3D&trackingId=Q5mQJmBXFMp%2BZ4z49rdaow%3D%3D
Saudi Arabia,Data Analyst,Data Collector,Confidential Government,https://sa.linkedin.com/company/confidentialgovernment?trk=public_jobs_jserp-result_job-search-card-subtitle,"Riyadh, Saudi Arabia",1 week ago,https://sa.linkedin.com/jobs/view/data-collector-at-confidential-government-4292789632?position=4&pageNum=0&refId=ZmLE6whTQU8K80x3EcrN0Q%3D%3D&trackingId=UAVo%2BKlxNfjkQZhd%2Bm9ilQ%3D%3D
Saudi Arabia,Data Analyst,Researcher,Confidential Government,https://sa.linkedin.com/company/confidentialgovernment?trk=public_jobs_jserp-result_job-search-card-subtitle,"Riyadh, Saudi Arabia",5 days ago,https://sa.linkedin.com/jobs/view/researcher-at-confidential-government-4295272957?position=5&pageNum=0&refId=ZmLE6whTQU8K80x3EcrN0Q%3D%3D&trackingId=pR41Pm4ZKnljAdFCeapHFg%3D%3D
Saudi Arabia,Data Analyst,Business Data Analyst,Devoteam,https://fr.linkedin.com/company/devoteam?trk=public_jobs_jserp-result_job-search-card-subtitle,"Riyadh, Riyadh, Saudi Arabia",1 week ago,https://sa.linkedin.com/jobs/view/business-data-analyst-at-devoteam-4203273752?position=6&pageNum=0&refId=ZmLE6whTQU8K80x3EcrN0Q%3D%3D&trackingId=d587kLOLzmjqdhyAZ0zhbA%3D%3D
Saudi Arabia,Data Analyst,BI Consultant,Al Safi Danone | الصافي دانون,https://sa.linkedin.com/company/al-safi-danone?trk=public_jobs_jserp-result_job-search-card-subtitle,"Riyadh, Saudi Arabia",3 weeks ago,https://sa.linkedin.com/jobs/view/bi-consultant-at-al-safi-danone-%D8%A7%D9%84%D8%B5%D8%A7%D9%81%D9%8A-%D8%AF%D8%A7%D9%86%D9%88%D9%86-4287927962?position=7&pageNum=0&refId=ZmLE6whTQU8K80x3EcrN0Q%3D%3D&trackingId=XpRHubDEX7IvfDtZ21TsSg%3D%3D
Saudi Arabia,Data Analyst,Data Analysis Specialist - أخصائي تحليل بيانات,Saudi Patient Safety Center - المركز السعودي لسلامة المرضى,https://sa.linkedin.com/company/saudi-patient-safety-center-%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A-%D9%84%D8%B3%D9%84%D8%A7%D9%85%D8%A9-%D8%A7%D9%84%D9%85%D8%B1%D8%B6%D9%89?trk=public_jobs_jserp-result_job-search-card-subtitle,"Riyadh, Saudi Arabia",2 weeks ago,https://sa.linkedin.com/jobs/view/data-analysis-specialist-%D8%A3%D8%AE%D8%B5%D8%A7%D8%A6%D9%8A-%D8%AA%D8%AD%D9%84%D9%8A%D9%84-%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA-at-saudi-patient-safety-center-%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A-%D9%84%D8%B3%D9%84%D8%A7%D9%85%D8%A9-%D8%A7%D9%84%D9%85%D8%B1%D8%B6%D9%89-4288544735?position=8&pageNum=0&refId=ZmLE6whTQU8K80x3EcrN0Q%3D%3D&trackingId=bhBzcvW1aYvaM8MwC0R%2BMg%3D%3D
Saudi Arabia,Data Analyst,Data Analysis Specialist,Lucid Motors Middle East,https://sa.linkedin.com/company/lucid-motors-middle-east?trk=public_jobs_jserp-result_job-search-card-subtitle,Saudi Arabia,11 hours ago,https://sa.linkedin.com/jobs/view/data-analysis-specialist-at-lucid-motors-middle-east-4236582896?position=9&pageNum=0&refId=ZmLE6whTQU8K80x3EcrN0Q%3D%3D&trackingId=6HHMQ4nb5dh63iPtvyVMJQ%3D%3D
Saudi Arabia,Data Analyst,Dashboard Developer,ArcelorMittal Tubular Products Al-Jubail,https://sa.linkedin.com/company/arcelormittal-saudiarabia?trk=public_jobs_jserp-result_job-search-card-subtitle,"Jubail, Eastern, Saudi Arabia",1 week ago,https://sa.linkedin.com/jobs/view/dashboard-developer-at-arcelormittal-tubular-products-al-jubail-4292746537?position=10&pageNum=0&refId=ZmLE6whTQU8K80x3EcrN0Q%3D%3D&trackingId=ZFjASg37dhZUXVQfq4iEVA%3D%3D
